85,0.24792,1,52,81,1426.1,4.1594
85.25,0.24792,1,51,65,1430.3,4.1594
85.5,0.24792,1,50,48,1434.5,4.1594
85.75,0.24792,1,47,46,1438.6,4.1594
86,0.16458,1,56,55,1442.8,2.7612
86.167,0.16458,1,55,48,1445.6,2.7612
86.333,0.16458,1,57,62,1448.4,2.7612
86.5,0.16458,1,54,78,1451.2,2.7612
86.667,0.16458,1,53,95,1454,2.7612
86.833,0.16458,1,55,100,1456.8,2.7612
87,0.24792,1,52,90,1459.6,4.1594
87.25,0.24792,1,51,72,1463.8,4.1594
87.5,0.24792,1,50,54,1468,4.1594
87.75,1.2479,1,47,48,1472.2,20.937
89,0.33125,1,47,45,1493.2,5.5575
89.333,0.10625,1,52,80,1498.8,1.7826
89.442,0.22292,1,51,46,1500.6,3.7399
89.667,0.33125,1,50,50,1504.4,5.5575
90,2.3313,1,47,41,1509.9,39.112
92.333,0.33125,1,55,50,1549.1,5.5575
92.667,0.33125,1,53,47,1554.7,5.5575
93,1.9979,1,47,48,1560.3,33.519
95,3.3979,1,57,62,1593.8,57.008
98.4,0.39792,1,55,80,1650.9,6.6759
98.8,0.39792,1,53,80,1657.6,6.6759
99.2,0.39792,1,51,80,1664.3,6.6759
99.6,0.39792,1,49,80,1671,6.6759
100,0.10417,1,49,80,1677.7,1.7476
100.11,2.8896,1,47,44,1679.5,48.479
